task,task_display,variant,variant_display,variant_role,held_out_subject,recording_id,raw_level,true_label,p0,p1,pred_label,correct,n_windows
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,4,arithmetic:s04:r3,3,1,1.3029564674213626e-07,0.99999986970435328,1,1,221
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,5,arithmetic:s05:r0,0,0,0.9999369091218826,6.3090878117384369e-05,0,1,244
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,5,arithmetic:s05:r1,1,1,0.32634090273656247,0.67365909726343753,1,1,153
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,5,arithmetic:s05:r2,2,1,0.44301797010133892,0.55698202989866108,1,1,198
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,5,arithmetic:s05:r3,3,1,0.34132800496662147,0.65867199503337848,1,1,232
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,6,arithmetic:s06:r0,0,0,0.99458360172647398,0.0054163982735261048,0,1,150
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,6,arithmetic:s06:r1,1,1,0.029909630120121756,0.97009036987987829,1,1,119
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,6,arithmetic:s06:r2,2,1,0.97067033591487073,0.029329664085129322,0,0,130
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,6,arithmetic:s06:r3,3,1,0.73654561691386855,0.26345438308613145,0,0,191
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,7,arithmetic:s07:r0,0,0,0.990342446752835,0.0096575532471648677,0,1,169
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,7,arithmetic:s07:r1,1,1,0.83197155260759981,0.16802844739240017,0,0,36
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,7,arithmetic:s07:r2,2,1,0.95090937453035018,0.049090625469649839,0,0,46
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,7,arithmetic:s07:r3,3,1,0.48834897915570069,0.51165102084429936,1,1,102
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,8,arithmetic:s08:r0,0,0,0.066123000435750964,0.93387699956424908,1,0,190
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,8,arithmetic:s08:r1,1,1,0.015735980287673423,0.98426401971232658,1,1,278
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,8,arithmetic:s08:r2,2,1,0.012770701980553491,0.98722929801944648,1,1,259
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,8,arithmetic:s08:r3,3,1,0.003986955827240287,0.99601304417275971,1,1,311
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,9,arithmetic:s09:r0,0,0,0.99999999657401684,3.425983102839948e-09,0,1,410
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,9,arithmetic:s09:r1,1,1,0.54787363277401113,0.45212636722598898,0,0,121
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,9,arithmetic:s09:r2,2,1,0.4724711957815762,0.52752880421842374,1,1,122
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,9,arithmetic:s09:r3,3,1,0.84286393655704639,0.15713606344295353,0,0,426
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,10,arithmetic:s10:r0,0,0,0.99591213595727812,0.0040878640427219068,0,1,185
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,10,arithmetic:s10:r1,1,1,0.81490141068022925,0.18509858931977077,0,0,96
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,10,arithmetic:s10:r2,2,1,0.79168323103214988,0.20831676896785006,0,0,112
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,10,arithmetic:s10:r3,3,1,0.79428141865436297,0.20571858134563709,0,0,145
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,11,arithmetic:s11:r0,0,0,0.37770027761932568,0.62229972238067432,1,0,244
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,11,arithmetic:s11:r1,1,1,0.00059652849105913859,0.99940347150894093,1,1,155
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,11,arithmetic:s11:r2,2,1,0.00052147998057403867,0.99947852001942605,1,1,162
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,11,arithmetic:s11:r3,3,1,0.00085703286554184943,0.99914296713445816,1,1,211
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,12,arithmetic:s12:r0,0,0,0.38329420460326541,0.61670579539673454,1,0,185
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,12,arithmetic:s12:r1,1,1,0.00023425608155398092,0.99976574391844608,1,1,116
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,12,arithmetic:s12:r2,2,1,0.00037150776655668649,0.9996284922334433,1,1,135
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,12,arithmetic:s12:r3,3,1,0.00060601034364934057,0.99939398965635073,1,1,219
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,13,arithmetic:s13:r0,0,0,0.99944430070197798,0.00055569929802212553,0,1,180
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,13,arithmetic:s13:r1,1,1,0.10003872477931443,0.89996127522068559,1,1,142
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,13,arithmetic:s13:r2,2,1,0.8108363863320075,0.1891636136679925,0,0,145
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,13,arithmetic:s13:r3,3,1,0.44705082714735533,0.55294917285264467,1,1,203
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,14,arithmetic:s14:r0,0,0,0.99999881786922096,1.1821307790191099e-06,0,1,155
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,14,arithmetic:s14:r1,1,1,0.99846632006078584,0.0015336799392141232,0,0,114
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,14,arithmetic:s14:r2,2,1,0.97804963836045111,0.021950361639548902,0,0,155
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,14,arithmetic:s14:r3,3,1,0.82686155171622189,0.17313844828377811,0,0,170
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,15,arithmetic:s15:r0,0,0,0.00010891362234494701,0.99989108637765511,1,0,165
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,15,arithmetic:s15:r1,1,1,4.0749424017584883e-11,0.9999999999592506,1,1,184
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,15,arithmetic:s15:r2,2,1,6.9716351044592169e-11,0.99999999993028355,1,1,130
arithmetic,Arithmetic,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,15,arithmetic:s15:r3,3,1,2.2167754566764128e-11,0.99999999997783229,1,1,248
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,1,arithmetic:s01:r0,0,0,0.63730317307629614,0.36269682692370392,0,1,157
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,1,arithmetic:s01:r1,1,0,0.44215928170410945,0.55784071829589055,1,0,152
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,1,arithmetic:s01:r2,2,1,0.41726524673982274,0.58273475326017732,1,1,169
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,1,arithmetic:s01:r3,3,1,0.16540567275872919,0.83459432724127081,1,1,218
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,2,arithmetic:s02:r0,0,0,0.0066335821593614102,0.9933664178406385,1,0,450
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,2,arithmetic:s02:r1,1,0,0.017873285948975543,0.98212671405102447,1,0,132
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,2,arithmetic:s02:r2,2,1,0.012017496558736804,0.98798250344126326,1,1,136
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,2,arithmetic:s02:r3,3,1,0.011564932422996112,0.98843506757700395,1,1,270
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,3,arithmetic:s03:r0,0,0,0.9847729937019104,0.01522700629808953,0,1,181
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,3,arithmetic:s03:r1,1,0,0.28543972820433444,0.71456027179566561,1,0,91
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,3,arithmetic:s03:r2,2,1,0.064660120290991094,0.935339879709009,1,1,137
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,3,arithmetic:s03:r3,3,1,0.21584988069208486,0.78415011930791512,1,1,160
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,4,arithmetic:s04:r0,0,0,0.016983587284612151,0.98301641271538787,1,0,116
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,4,arithmetic:s04:r1,1,0,0.11742071551278152,0.88257928448721845,1,0,119
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,4,arithmetic:s04:r2,2,1,0.098125135368686028,0.90187486463131405,1,1,210
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,4,arithmetic:s04:r3,3,1,0.061234156006506113,0.93876584399349383,1,1,221
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,5,arithmetic:s05:r0,0,0,0.9917278935626842,0.0082721064373157648,0,1,244
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,5,arithmetic:s05:r1,1,0,0.84564929758276886,0.15435070241723112,0,1,153
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,5,arithmetic:s05:r2,2,1,0.88583657409534333,0.1141634259046566,0,0,198
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,5,arithmetic:s05:r3,3,1,0.65542357413340646,0.34457642586659348,0,0,232
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,6,arithmetic:s06:r0,0,0,0.99996977429526224,3.022570473778186e-05,0,1,150
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,6,arithmetic:s06:r1,1,0,0.99911076963567347,0.00088923036432656585,0,1,119
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,6,arithmetic:s06:r2,2,1,0.99987084723695929,0.00012915276304069565,0,0,130
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,6,arithmetic:s06:r3,3,1,0.99974996434589802,0.00025003565410204739,0,0,191
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,7,arithmetic:s07:r0,0,0,0.97268166836125924,0.02731833163874086,0,1,169
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,7,arithmetic:s07:r1,1,0,0.96499929948261531,0.035000700517384652,0,1,36
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,7,arithmetic:s07:r2,2,1,0.98770106777367295,0.012298932226327042,0,0,46
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,7,arithmetic:s07:r3,3,1,0.75450126819279217,0.24549873180720785,0,0,102
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,8,arithmetic:s08:r0,0,0,0.14990853494080589,0.8500914650591942,1,0,190
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,8,arithmetic:s08:r1,1,0,0.14520225805797829,0.85479774194202163,1,0,278
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,8,arithmetic:s08:r2,2,1,0.074802008755931806,0.9251979912440681,1,1,259
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,8,arithmetic:s08:r3,3,1,0.050636642347715102,0.94936335765228486,1,1,311
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,9,arithmetic:s09:r0,0,0,0.99817878572144325,0.0018212142785566717,0,1,410
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,9,arithmetic:s09:r1,1,0,0.89122436911298386,0.10877563088701617,0,1,121
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,9,arithmetic:s09:r2,2,1,0.84065625659799303,0.15934374340200702,0,0,122
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,9,arithmetic:s09:r3,3,1,0.94056374934797826,0.059436250652021683,0,0,426
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,10,arithmetic:s10:r0,0,0,0.95444851272594355,0.045551487274056321,0,1,185
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,10,arithmetic:s10:r1,1,0,0.42950475588557457,0.57049524411442532,1,0,96
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,10,arithmetic:s10:r2,2,1,0.37990812658445045,0.62009187341554961,1,1,112
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,10,arithmetic:s10:r3,3,1,0.51833166996219104,0.4816683300378089,0,0,145
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,11,arithmetic:s11:r0,0,0,0.74421786983018512,0.25578213016981488,0,1,244
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,11,arithmetic:s11:r1,1,0,0.22182794364185876,0.77817205635814124,1,0,155
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,11,arithmetic:s11:r2,2,1,0.17997218842851642,0.82002781157148363,1,1,162
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,11,arithmetic:s11:r3,3,1,0.21323457810269447,0.78676542189730547,1,1,211
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,12,arithmetic:s12:r0,0,0,0.45774836791768603,0.54225163208231397,1,0,185
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,12,arithmetic:s12:r1,1,0,0.076573794298349832,0.92342620570165013,1,0,116
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,12,arithmetic:s12:r2,2,1,0.081277048867388513,0.91872295113261149,1,1,135
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,12,arithmetic:s12:r3,3,1,0.074274832651473915,0.92572516734852606,1,1,219
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,13,arithmetic:s13:r0,0,0,0.98888189103636981,0.011118108963630172,0,1,180
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,13,arithmetic:s13:r1,1,0,0.27543204848999797,0.72456795151000197,1,0,142
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,13,arithmetic:s13:r2,2,1,0.18322146128010863,0.81677853871989137,1,1,145
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,13,arithmetic:s13:r3,3,1,0.1379334889998457,0.8620665110001543,1,1,203
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,14,arithmetic:s14:r0,0,0,0.94676470860735296,0.053235291392647072,0,1,155
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,14,arithmetic:s14:r1,1,0,0.04151136554818232,0.95848863445181776,1,0,114
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,14,arithmetic:s14:r2,2,1,0.046661126853350367,0.95333887314664967,1,1,155
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,14,arithmetic:s14:r3,3,1,0.061237654542948397,0.93876234545705162,1,1,170
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,15,arithmetic:s15:r0,0,0,0.11179215861762504,0.88820784138237496,1,0,165
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,15,arithmetic:s15:r1,1,0,0.0009267733918813635,0.99907322660811859,1,0,184
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,15,arithmetic:s15:r2,2,1,0.0016094125097404126,0.99839058749025955,1,1,130
arithmetic,Arithmetic,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,15,arithmetic:s15:r3,3,1,0.00045140981132716404,0.99954859018867281,1,1,248
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,1,arithmetic:s01:r0,0,0,0.72505145408396032,0.27494854591603968,0,1,157
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,1,arithmetic:s01:r1,1,0,0.41235913844658473,0.58764086155341533,1,0,152
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,1,arithmetic:s01:r2,2,0,0.47443993965467951,0.52556006034532043,1,0,169
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,1,arithmetic:s01:r3,3,1,0.22176055392173691,0.77823944607826312,1,1,218
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,2,arithmetic:s02:r0,0,0,0.3533905660148467,0.64660943398515336,1,0,450
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,2,arithmetic:s02:r1,1,0,0.24486827424018481,0.75513172575981524,1,0,132
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,2,arithmetic:s02:r2,2,0,0.21137503478493058,0.78862496521506942,1,0,136
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,2,arithmetic:s02:r3,3,1,0.14268296404236555,0.85731703595763442,1,1,270
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,3,arithmetic:s03:r0,0,0,0.98592604478217383,0.014073955217826162,0,1,181
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,3,arithmetic:s03:r1,1,0,0.64745468632176573,0.35254531367823427,0,1,91
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,3,arithmetic:s03:r2,2,0,0.14390226151114005,0.85609773848885995,1,0,137
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,3,arithmetic:s03:r3,3,1,0.6064269592042083,0.3935730407957917,0,0,160
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,4,arithmetic:s04:r0,0,0,0.15778865400460365,0.84221134599539638,1,0,116
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,4,arithmetic:s04:r1,1,0,0.020388242859217136,0.97961175714078297,1,0,119
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,4,arithmetic:s04:r2,2,0,0.990881486343827,0.0091185136561730377,0,1,210
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,4,arithmetic:s04:r3,3,1,0.95920783175675361,0.040792168243246385,0,0,221
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,5,arithmetic:s05:r0,0,0,0.72997334751970666,0.27002665248029345,0,1,244
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,5,arithmetic:s05:r1,1,0,0.64762436528605094,0.35237563471394889,0,1,153
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,5,arithmetic:s05:r2,2,0,0.70668644980636364,0.29331355019363625,0,1,198
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,5,arithmetic:s05:r3,3,1,0.26841130825712162,0.73158869174287844,1,1,232
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,6,arithmetic:s06:r0,0,0,0.99996505580873063,3.4944191269268872e-05,0,1,150
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,6,arithmetic:s06:r1,1,0,0.99973520904939206,0.00026479095060789914,0,1,119
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,6,arithmetic:s06:r2,2,0,0.9999345299192558,6.5470080744136036e-05,0,1,130
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,6,arithmetic:s06:r3,3,1,0.99978687735766403,0.00021312264233601383,0,0,191
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,7,arithmetic:s07:r0,0,0,0.96046288903541688,0.039537110964583073,0,1,169
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,7,arithmetic:s07:r1,1,0,0.30842565507886804,0.6915743449211319,1,0,36
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,7,arithmetic:s07:r2,2,0,0.34280262565527897,0.65719737434472103,1,0,46
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,7,arithmetic:s07:r3,3,1,0.24697797469973701,0.75302202530026308,1,1,102
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,8,arithmetic:s08:r0,0,0,0.13608815864930493,0.8639118413506951,1,0,190
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,8,arithmetic:s08:r1,1,0,0.2166162055581797,0.78338379444182038,1,0,278
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,8,arithmetic:s08:r2,2,0,0.14960875713468316,0.85039124286531675,1,0,259
