variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,n_evaluations,mean_recording_balanced_accuracy,mean_recording_accuracy,mean_recording_log_loss
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,12,1,0.5,0.6666666666666666,2.151222821621166
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,1,1.0,1.0,0.013266936687571966
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,1,1,0.25,0.3333333333333333,1.087239874611865
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,2,1,0.5,0.6666666666666666,3.2451862611363875
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,3,1,1.0,1.0,0.13777895118749936
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,4,1,0.5,0.6666666666666666,2.5416783883669583
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,5,1,0.5,0.6666666666666666,1.661421909401885
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,6,1,0.75,0.6666666666666666,9.359485588251163
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,7,1,0.5,0.6666666666666666,1.9436812020484997
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,8,1,0.5,0.6666666666666666,1.018935280486035
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,9,1,0.5,0.6666666666666666,2.7906702563791472
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,10,1,0.25,0.3333333333333333,1.2345473898812898
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,11,1,0.5,0.3333333333333333,2.7871041108759087
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,12,1,0.5,0.6666666666666666,2.508767880259819
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,1,1.0,1.0,0.0438892911999052
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,1,1,0.5,0.6666666666666666,0.9798298143955839
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,2,1,0.5,0.6666666666666666,3.3909908626833967
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,3,1,1.0,1.0,0.1524861633683667
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,4,1,0.5,0.6666666666666666,4.313132593278726
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,5,1,0.5,0.6666666666666666,2.1240075902256703
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,6,1,0.5,0.6666666666666666,0.9802079684942608
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,7,1,0.5,0.6666666666666666,0.4254233596022447
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,8,1,0.5,0.6666666666666666,1.5272756292187892
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,9,1,0.5,0.6666666666666666,6.128631790951381
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,10,1,0.25,0.3333333333333333,13.03346071598183
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,11,1,0.0,0.0,4.5634282345466195
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,12,1,0.5,0.6666666666666666,2.7672363318647872
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,1,1.0,1.0,0.045622814727433014
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,1,1,0.75,0.6666666666666666,2.5392257229016244
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,2,1,0.5,0.6666666666666666,7.319039562809735
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,3,1,0.25,0.3333333333333333,5.4099128212803045
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,4,1,0.5,0.6666666666666666,1.0097169684243539
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,5,1,0.5,0.6666666666666666,1.164729345464203
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,6,1,0.25,0.3333333333333333,8.812103735569634
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,7,1,0.5,0.6666666666666666,1.2629364932750295
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,8,1,0.25,0.3333333333333333,6.60315322997064
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,9,1,0.25,0.3333333333333333,2.4117906170287595
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,10,1,0.5,0.6666666666666666,2.052979972360358
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,11,1,0.5,0.6666666666666666,8.096094023929185
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,12,1,0.5,0.6666666666666666,3.663695297314465
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,1,0.5,0.6666666666666666,1.6036906774349193
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,1,1,0.25,0.3333333333333333,1.0878565105029292
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,2,1,0.5,0.6666666666666666,2.513576140442662
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,3,1,0.75,0.6666666666666666,0.2613826809074257
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,4,1,0.5,0.6666666666666666,2.5886566650907894
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,5,1,0.5,0.6666666666666666,1.4663203466310364
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,6,1,0.25,0.3333333333333333,8.216479576312274
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,7,1,0.5,0.6666666666666666,1.0484823239299754
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,8,1,0.5,0.6666666666666666,1.0477006398213666
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,9,1,0.5,0.6666666666666666,2.7286053973337836
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,10,1,0.5,0.6666666666666666,0.5192637427619022
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,11,1,0.5,0.3333333333333333,2.855964439156493
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,12,1,0.5,0.6666666666666666,2.133511245191213
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,arithmetic_to_stroop,Arithmetic to Stroop,13,1,1.0,1.0,0.013974018507351272
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,1,1,0.5,0.3333333333333333,0.7945959618413738
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,2,1,0.25,0.3333333333333333,1.107734471811616
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,3,1,0.5,0.6666666666666666,3.2209899752824733
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,4,1,1.0,1.0,0.19588641977156487
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,5,1,0.0,0.0,2.5711115020298565
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,6,1,1.0,1.0,0.3551167993715975
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,7,1,0.25,0.3333333333333333,1.289675085462113
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,8,1,0.25,0.3333333333333333,0.5760750171461867
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,9,1,0.25,0.3333333333333333,0.8659224788682399
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,10,1,0.5,0.3333333333333333,0.9736554641989725
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,11,1,0.0,0.0,1.2555281231402422
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,12,1,0.0,0.0,1.0019553182520855
neutral_legacy_multipliers,Neutral legacy multipliers,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,1,0.75,0.6666666666666666,0.5784027398895989
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,1,1,0.5,0.3333333333333333,0.8105583946564372
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,2,1,0.75,0.6666666666666666,0.6388343795413055
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,3,1,0.5,0.6666666666666666,3.11617747135848
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,4,1,1.0,1.0,0.12019587502430307
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,5,1,0.0,0.0,2.3355207602614336
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,6,1,0.75,0.6666666666666666,0.5456187060792356
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,7,1,0.5,0.6666666666666666,3.505867765312623
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,8,1,0.5,0.6666666666666666,0.5657620537815976
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,9,1,0.5,0.6666666666666666,0.9270424549177393
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,10,1,0.5,0.3333333333333333,0.8452054184592841
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,11,1,0.25,0.3333333333333333,1.0727470962771324
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,12,1,0.25,0.3333333333333333,0.7674008952425515
no_50hz_attenuation,No 50-Hz attenuation,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,1,0.75,0.6666666666666666,0.5810475469675044
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,1,1,0.75,0.6666666666666666,0.8922960608594419
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,2,1,0.5,0.3333333333333333,1.4145954189924865
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,3,1,0.5,0.6666666666666666,3.0471327951511484
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,4,1,0.5,0.6666666666666666,1.1788563828135772
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,5,1,0.0,0.0,3.3203298711491995
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,6,1,0.75,0.6666666666666666,0.5328080783011836
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,7,1,0.5,0.6666666666666666,1.5025957250139637
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,8,1,0.5,0.6666666666666666,0.8527279719328953
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,9,1,0.5,0.3333333333333333,4.05159687471592
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,10,1,0.5,0.3333333333333333,0.9975081656453617
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,11,1,0.5,0.3333333333333333,3.9105358546118514
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,12,1,0.25,0.3333333333333333,1.2930237973066891
no_window_zscore,No within-window z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,1,1.0,1.0,0.346850977836108
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,1,1,1.0,1.0,0.3160901730690317
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,2,1,0.5,0.6666666666666666,7.255265530722707
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,3,1,0.75,0.6666666666666666,5.463981099943536
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,4,1,1.0,1.0,0.007158067789593576
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,5,1,0.0,0.0,1.8812314323500081
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,6,1,0.75,0.6666666666666666,2.335904653543326
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,7,1,0.75,0.6666666666666666,3.4858869372579453
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,8,1,0.75,0.6666666666666666,1.2697920978426633
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,9,1,0.5,0.3333333333333333,12.069146351021109
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,10,1,0.5,0.3333333333333333,1.91784472664326
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,11,1,0.5,0.3333333333333333,1.471738239899432
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,12,1,1.0,1.0,0.24869404338509724
recording_zscore,Recording-level z-score,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,1,0.5,0.6666666666666666,1.4388433799912204
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,1,1,0.5,0.3333333333333333,0.7990558868877905
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,2,1,0.25,0.3333333333333333,1.084353127748279
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,3,1,0.5,0.6666666666666666,3.273745165609981
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,4,1,1.0,1.0,0.19484075258598713
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,5,1,0.0,0.0,2.54749663011269
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,6,1,1.0,1.0,0.34282957246774215
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,7,1,0.25,0.3333333333333333,1.3154915664069742
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,8,1,0.25,0.3333333333333333,0.566390104549873
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,9,1,0.5,0.6666666666666666,0.8671075430017533
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,10,1,0.5,0.3333333333333333,1.0057972863707727
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,11,1,0.0,0.0,1.2693545666655954
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,12,1,0.0,0.0,0.990463048855053
reference,Reference preprocessing,cross_task,Within-participant cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,1,0.75,0.6666666666666666,0.5599817361548732
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,1,1,0.75,0.75,0.4953752966295781
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,2,1,0.5,0.5,2.261408945172199
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,3,1,0.75,0.75,0.3949920301528561
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,4,1,0.5,0.5,1.6682216077548264
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,5,1,0.5,0.5,0.8486980807366524
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,6,1,0.5,0.5,4.343871468414614
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,7,1,0.5,0.5,1.564824230307778
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,8,1,0.5,0.5,0.9823108091230753
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,9,1,0.5,0.5,1.1752842919079252
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,10,1,0.5,0.5,0.5343053693498887
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,11,1,0.75,0.75,0.5570247538174202
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,12,1,0.5,0.5,0.8422963387454246
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,13,1,0.75,0.75,0.4150317934451443
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,14,1,0.75,0.75,0.8749733355932736
neutral_legacy_multipliers,Neutral legacy multipliers,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,1,0.5,0.5,2.2950346576498215
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,1,1,0.75,0.75,0.5532053938036743
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,2,1,0.5,0.5,1.372673189013711
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,3,1,0.75,0.75,0.5057561262640036
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,4,1,0.25,0.25,4.081213612898349
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,5,1,0.5,0.5,0.725288812727388
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,6,1,0.5,0.5,2.0875054035243417
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,7,1,0.75,0.75,0.642151980939613
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,8,1,0.5,0.5,0.8958595858516878
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,9,1,0.5,0.5,1.6427295085550773
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,10,1,0.5,0.5,3.3127614782828925
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,11,1,0.75,0.75,0.5725624159958085
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,12,1,0.5,0.5,0.9894467097881599
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,13,1,0.5,0.5,0.6148929023515346
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,14,1,0.75,0.75,1.000881693080797
no_50hz_attenuation,No 50-Hz attenuation,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,15,1,0.75,0.75,0.43448397193599053
no_window_zscore,No within-window z-score,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,1,1,0.5,0.5,1.6993661002816343
no_window_zscore,No within-window z-score,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,2,1,0.5,0.5,2.535615165393604
no_window_zscore,No within-window z-score,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,3,1,0.75,0.75,0.3979704227691284
no_window_zscore,No within-window z-score,participant_disjoint_loso,Participant-disjoint LOSO,arithmetic,Arithmetic,4,1,0.5,0.5,8.366449325644789
