correct,fold,held_out_subject,p0,p1,pred_label,recording_id,split_seed,strategy,strategy_display,task,true_label,validation_windows_from_recording
1,1,1,0.047830803051121695,0.95216919694887825,1,arithmetic:s01:r2,1335,random_window,Random-window split,arithmetic,1,18
1,1,1,0.0010897862172361272,0.9989102137827639,1,arithmetic:s01:r3,1335,random_window,Random-window split,arithmetic,1,29
1,2,1,0.99998709615879933,1.2903841200698237e-05,0,arithmetic:s01:r0,1335,random_window,Random-window split,arithmetic,0,22
1,2,1,0.97880778106947275,0.021192218930527248,0,arithmetic:s01:r1,1335,random_window,Random-window split,arithmetic,0,15
1,2,1,0.018227200060200691,0.98177279993979927,1,arithmetic:s01:r2,1335,random_window,Random-window split,arithmetic,1,25
1,2,1,0.0034580764607312301,0.99654192353926874,1,arithmetic:s01:r3,1335,random_window,Random-window split,arithmetic,1,22
1,1,1,0.99999319037570489,6.809624295106011e-06,0,arithmetic:s01:r0,1388,random_window,Random-window split,arithmetic,0,19
1,1,1,0.96088408088637201,0.039115919113628057,0,arithmetic:s01:r1,1388,random_window,Random-window split,arithmetic,0,18
1,1,1,0.013154400264214364,0.98684559973578567,1,arithmetic:s01:r2,1388,random_window,Random-window split,arithmetic,1,26
1,1,1,0.0059973843496400562,0.99400261565035997,1,arithmetic:s01:r3,1388,random_window,Random-window split,arithmetic,1,21
1,2,1,0.99999559631312884,4.4036868711696592e-06,0,arithmetic:s01:r0,1388,random_window,Random-window split,arithmetic,0,18
1,2,1,0.97873189363368396,0.021268106366315993,0,arithmetic:s01:r1,1388,random_window,Random-window split,arithmetic,0,19
1,2,1,0.022413681662775641,0.97758631833722442,1,arithmetic:s01:r2,1388,random_window,Random-window split,arithmetic,1,19
1,2,1,0.0023579926436779574,0.99764200735632202,1,arithmetic:s01:r3,1388,random_window,Random-window split,arithmetic,1,28
1,1,1,0.99999962425908995,3.7574091004627052e-07,0,arithmetic:s01:r0,1441,random_window,Random-window split,arithmetic,0,20
1,1,1,0.94753162346118036,0.052468376538819625,0,arithmetic:s01:r1,1441,random_window,Random-window split,arithmetic,0,17
1,1,1,0.049124327978301727,0.9508756720216982,1,arithmetic:s01:r2,1441,random_window,Random-window split,arithmetic,1,14
1,1,1,0.0053374463289667731,0.99466255367103329,1,arithmetic:s01:r3,1441,random_window,Random-window split,arithmetic,1,33
1,2,1,0.99999947054445526,5.2945554473745723e-07,0,arithmetic:s01:r0,1441,random_window,Random-window split,arithmetic,0,18
1,2,1,0.92389535961134972,0.076104640388650363,0,arithmetic:s01:r1,1441,random_window,Random-window split,arithmetic,0,19
1,2,1,0.043116477497446092,0.95688352250255393,1,arithmetic:s01:r2,1441,random_window,Random-window split,arithmetic,1,16
1,2,1,0.0034165436937012208,0.99658345630629874,1,arithmetic:s01:r3,1441,random_window,Random-window split,arithmetic,1,31
1,1,1,0.99999902080831726,9.7919168264883294e-07,0,arithmetic:s01:r0,1494,random_window,Random-window split,arithmetic,0,19
1,1,1,0.9887157891785251,0.011284210821474929,0,arithmetic:s01:r1,1494,random_window,Random-window split,arithmetic,0,18
1,1,1,0.034783513627157057,0.96521648637284296,1,arithmetic:s01:r2,1494,random_window,Random-window split,arithmetic,1,22
1,1,1,0.0052195730534309696,0.9947804269465691,1,arithmetic:s01:r3,1494,random_window,Random-window split,arithmetic,1,25
1,2,1,0.99999867912804741,1.3208719525897774e-06,0,arithmetic:s01:r0,1494,random_window,Random-window split,arithmetic,0,15
1,2,1,0.97910272656306718,0.020897273436932869,0,arithmetic:s01:r1,1494,random_window,Random-window split,arithmetic,0,22
1,2,1,0.014610200236693032,0.98538979976330687,1,arithmetic:s01:r2,1494,random_window,Random-window split,arithmetic,1,19
1,2,1,0.0014994085947677535,0.99850059140523217,1,arithmetic:s01:r3,1494,random_window,Random-window split,arithmetic,1,28
1,1,1,0.99999983719113827,1.6280886173038522e-07,0,arithmetic:s01:r0,1547,random_window,Random-window split,arithmetic,0,15
1,1,1,0.96893234942913342,0.03106765057086661,0,arithmetic:s01:r1,1547,random_window,Random-window split,arithmetic,0,22
1,1,1,0.012554170611640197,0.98744582938835979,1,arithmetic:s01:r2,1547,random_window,Random-window split,arithmetic,1,23
1,1,1,0.0028834108423708661,0.99711658915762913,1,arithmetic:s01:r3,1547,random_window,Random-window split,arithmetic,1,24
1,2,1,0.99996152433947694,3.8475660523102976e-05,0,arithmetic:s01:r0,1547,random_window,Random-window split,arithmetic,0,23
1,2,1,0.94278146877055324,0.057218531229446708,0,arithmetic:s01:r1,1547,random_window,Random-window split,arithmetic,0,14
1,2,1,0.024734709819131537,0.97526529018086849,1,arithmetic:s01:r2,1547,random_window,Random-window split,arithmetic,1,21
1,2,1,0.0037667630302123905,0.99623323696978761,1,arithmetic:s01:r3,1547,random_window,Random-window split,arithmetic,1,26
1,1,2,0.99993244047553276,6.7559524467268492e-05,0,arithmetic:s02:r0,1335,random_window,Random-window split,arithmetic,0,53
1,1,2,0.95835687601878605,0.041643123981213941,0,arithmetic:s02:r1,1335,random_window,Random-window split,arithmetic,0,17
1,1,2,0.01306874346860403,0.98693125653139602,1,arithmetic:s02:r2,1335,random_window,Random-window split,arithmetic,1,17
1,1,2,6.8915850698249244e-05,0.99993108414930176,1,arithmetic:s02:r3,1335,random_window,Random-window split,arithmetic,1,32
1,2,2,0.99996289001826533,3.7109981734598875e-05,0,arithmetic:s02:r0,1335,random_window,Random-window split,arithmetic,0,60
1,2,2,0.95274186293265051,0.047258137067349479,0,arithmetic:s02:r1,1335,random_window,Random-window split,arithmetic,0,10
1,2,2,0.007733721104749746,0.99226627889525032,1,arithmetic:s02:r2,1335,random_window,Random-window split,arithmetic,1,14
1,2,2,0.00014725710133274743,0.99985274289866721,1,arithmetic:s02:r3,1335,random_window,Random-window split,arithmetic,1,35
1,1,2,0.99995054770417868,4.945229582138229e-05,0,arithmetic:s02:r0,1388,random_window,Random-window split,arithmetic,0,58
1,1,2,0.9295152235070322,0.070484776492967791,0,arithmetic:s02:r1,1388,random_window,Random-window split,arithmetic,0,12
1,1,2,0.060729501156074589,0.93927049884392544,1,arithmetic:s02:r2,1388,random_window,Random-window split,arithmetic,1,12
1,1,2,0.00025107396587025605,0.99974892603412979,1,arithmetic:s02:r3,1388,random_window,Random-window split,arithmetic,1,37
1,2,2,0.9999778239917767,2.2176008223195283e-05,0,arithmetic:s02:r0,1388,random_window,Random-window split,arithmetic,0,56
1,2,2,0.98839492100495774,0.011605078995042237,0,arithmetic:s02:r1,1388,random_window,Random-window split,arithmetic,0,14
1,2,2,0.017762520172536711,0.98223747982746323,1,arithmetic:s02:r2,1388,random_window,Random-window split,arithmetic,1,16
1,2,2,0.00023952698100175913,0.99976047301899817,1,arithmetic:s02:r3,1388,random_window,Random-window split,arithmetic,1,33
1,1,2,0.99993173350770248,6.8266492297491441e-05,0,arithmetic:s02:r0,1441,random_window,Random-window split,arithmetic,0,56
1,1,2,0.90726899303037145,0.092731006969628577,0,arithmetic:s02:r1,1441,random_window,Random-window split,arithmetic,0,14
1,1,2,0.012383318121708181,0.98761668187829177,1,arithmetic:s02:r2,1441,random_window,Random-window split,arithmetic,1,17
1,1,2,0.00019541372802536259,0.99980458627197466,1,arithmetic:s02:r3,1441,random_window,Random-window split,arithmetic,1,32
1,2,2,0.99995900315397113,4.0996846028889718e-05,0,arithmetic:s02:r0,1441,random_window,Random-window split,arithmetic,0,58
1,2,2,0.95135525935362197,0.04864474064637795,0,arithmetic:s02:r1,1441,random_window,Random-window split,arithmetic,0,12
1,2,2,0.016290112582709217,0.98370988741729082,1,arithmetic:s02:r2,1441,random_window,Random-window split,arithmetic,1,16
1,2,2,0.00030080284660933952,0.99969919715339062,1,arithmetic:s02:r3,1441,random_window,Random-window split,arithmetic,1,33
1,1,2,0.99996072618550447,3.9273814495494252e-05,0,arithmetic:s02:r0,1494,random_window,Random-window split,arithmetic,0,57
1,1,2,0.94015865439531066,0.05984134560468924,0,arithmetic:s02:r1,1494,random_window,Random-window split,arithmetic,0,13
1,1,2,0.016831858564501735,0.98316814143549824,1,arithmetic:s02:r2,1494,random_window,Random-window split,arithmetic,1,19
1,1,2,5.661675569113677e-05,0.99994338324430876,1,arithmetic:s02:r3,1494,random_window,Random-window split,arithmetic,1,30
1,2,2,0.99995461655465812,4.5383445341885299e-05,0,arithmetic:s02:r0,1494,random_window,Random-window split,arithmetic,0,53
1,2,2,0.96544346340825915,0.034556536591740898,0,arithmetic:s02:r1,1494,random_window,Random-window split,arithmetic,0,17
1,2,2,0.01278589543595369,0.98721410456404635,1,arithmetic:s02:r2,1494,random_window,Random-window split,arithmetic,1,17
1,2,2,0.00012473209919870357,0.99987526790080139,1,arithmetic:s02:r3,1494,random_window,Random-window split,arithmetic,1,32
1,1,2,0.99997513517929904,2.4864820700970594e-05,0,arithmetic:s02:r0,1547,random_window,Random-window split,arithmetic,0,54
1,1,2,0.96980651325442202,0.030193486745578021,0,arithmetic:s02:r1,1547,random_window,Random-window split,arithmetic,0,16
1,1,2,0.014458691139876387,0.98554130886012359,1,arithmetic:s02:r2,1547,random_window,Random-window split,arithmetic,1,22
1,1,2,0.00017195901712201066,0.99982804098287792,1,arithmetic:s02:r3,1547,random_window,Random-window split,arithmetic,1,27
1,2,2,0.99994564535151542,5.4354648484618023e-05,0,arithmetic:s02:r0,1547,random_window,Random-window split,arithmetic,0,54
1,2,2,0.97609766696665368,0.023902333033346299,0,arithmetic:s02:r1,1547,random_window,Random-window split,arithmetic,0,16
1,2,2,0.025215492303124871,0.97478450769687508,1,arithmetic:s02:r2,1547,random_window,Random-window split,arithmetic,1,18
1,2,2,0.0001142995540393114,0.9998857004459607,1,arithmetic:s02:r3,1547,random_window,Random-window split,arithmetic,1,31
1,1,3,0.99995450988624868,4.5490113751283119e-05,0,arithmetic:s03:r0,1335,random_window,Random-window split,arithmetic,0,23
1,1,3,0.98388383722719908,0.016116162772800886,0,arithmetic:s03:r1,1335,random_window,Random-window split,arithmetic,0,10
1,1,3,0.0004920893656638239,0.99950791063433619,1,arithmetic:s03:r2,1335,random_window,Random-window split,arithmetic,1,24
1,1,3,0.0050462318999031971,0.99495376810009672,1,arithmetic:s03:r3,1335,random_window,Random-window split,arithmetic,1,12
1,2,3,0.99995529517247317,4.4704827526865654e-05,0,arithmetic:s03:r0,1335,random_window,Random-window split,arithmetic,0,23
1,2,3,0.98517982366959078,0.014820176330409279,0,arithmetic:s03:r1,1335,random_window,Random-window split,arithmetic,0,10
1,2,3,0.00033029505831831939,0.99966970494168161,1,arithmetic:s03:r2,1335,random_window,Random-window split,arithmetic,1,20
1,2,3,0.013816522417277389,0.98618347758272262,1,arithmetic:s03:r3,1335,random_window,Random-window split,arithmetic,1,16
1,1,3,0.9998092304209677,0.00019076957903224492,0,arithmetic:s03:r0,1388,random_window,Random-window split,arithmetic,0,23
1,1,3,0.93096141022817902,0.069038589771820952,0,arithmetic:s03:r1,1388,random_window,Random-window split,arithmetic,0,10
1,1,3,0.00074759632180726107,0.99925240367819279,1,arithmetic:s03:r2,1388,random_window,Random-window split,arithmetic,1,15
1,1,3,0.0044675490746803707,0.99553245092531961,1,arithmetic:s03:r3,1388,random_window,Random-window split,arithmetic,1,21
1,2,3,0.99987964712480548,0.00012035287519446188,0,arithmetic:s03:r0,1388,random_window,Random-window split,arithmetic,0,27
1,2,3,0.98701556512731603,0.012984434872683881,0,arithmetic:s03:r1,1388,random_window,Random-window split,arithmetic,0,6
1,2,3,0.00045699773230867697,0.99954300226769133,1,arithmetic:s03:r2,1388,random_window,Random-window split,arithmetic,1,12
1,2,3,0.0091635620083471078,0.990836437991653,1,arithmetic:s03:r3,1388,random_window,Random-window split,arithmetic,1,24
1,1,3,0.9998693547948323,0.00013064520516761381,0,arithmetic:s03:r0,1441,random_window,Random-window split,arithmetic,0,22
1,1,3,0.98342568258244445,0.016574317417555634,0,arithmetic:s03:r1,1441,random_window,Random-window split,arithmetic,0,11
1,1,3,0.0012022388715080498,0.99879776112849195,1,arithmetic:s03:r2,1441,random_window,Random-window split,arithmetic,1,12
1,1,3,0.0037980338150851809,0.99620196618491486,1,arithmetic:s03:r3,1441,random_window,Random-window split,arithmetic,1,24
1,2,3,0.9997069498667337,0.00029305013326639417,0,arithmetic:s03:r0,1441,random_window,Random-window split,arithmetic,0,27
1,2,3,0.9427329190475553,0.057267080952444732,0,arithmetic:s03:r1,1441,random_window,Random-window split,arithmetic,0,6
1,2,3,0.0003381891368798998,0.99966181086312011,1,arithmetic:s03:r2,1441,random_window,Random-window split,arithmetic,1,20
1,2,3,0.0037689422191057955,0.99623105778089427,1,arithmetic:s03:r3,1441,random_window,Random-window split,arithmetic,1,16
1,1,3,0.99970644847200951,0.00029355152799044213,0,arithmetic:s03:r0,1494,random_window,Random-window split,arithmetic,0,25
1,1,3,0.99297963692068247,0.0070203630793175273,0,arithmetic:s03:r1,1494,random_window,Random-window split,arithmetic,0,8
1,1,3,0.00047958493061497356,0.99952041506938505,1,arithmetic:s03:r2,1494,random_window,Random-window split,arithmetic,1,20
1,1,3,0.014721706918639494,0.9852782930813605,1,arithmetic:s03:r3,1494,random_window,Random-window split,arithmetic,1,16
1,2,3,0.99976000155388045,0.00023999844611956124,0,arithmetic:s03:r0,1494,random_window,Random-window split,arithmetic,0,23
1,2,3,0.99513828273915461,0.0048617172608453165,0,arithmetic:s03:r1,1494,random_window,Random-window split,arithmetic,0,10
1,2,3,0.00033103748163715438,0.9996689625183629,1,arithmetic:s03:r2,1494,random_window,Random-window split,arithmetic,1,15
1,2,3,0.0071933235223629721,0.99280667647763698,1,arithmetic:s03:r3,1494,random_window,Random-window split,arithmetic,1,21
1,1,3,0.99984127379240295,0.00015872620759704346,0,arithmetic:s03:r0,1547,random_window,Random-window split,arithmetic,0,18
1,1,3,0.96881720287549922,0.031182797124500807,0,arithmetic:s03:r1,1547,random_window,Random-window split,arithmetic,0,15
1,1,3,0.00048963336480644043,0.99951036663519355,1,arithmetic:s03:r2,1547,random_window,Random-window split,arithmetic,1,18
1,1,3,0.0033099239502574346,0.99669007604974258,1,arithmetic:s03:r3,1547,random_window,Random-window split,arithmetic,1,18
1,2,3,0.99990157535598401,9.8424644015979791e-05,0,arithmetic:s03:r0,1547,random_window,Random-window split,arithmetic,0,18
1,2,3,0.98937819352899314,0.010621806471006801,0,arithmetic:s03:r1,1547,random_window,Random-window split,arithmetic,0,15
1,2,3,0.00041486045587955115,0.99958513954412043,1,arithmetic:s03:r2,1547,random_window,Random-window split,arithmetic,1,13
1,2,3,0.0093713893353908097,0.99062861066460917,1,arithmetic:s03:r3,1547,random_window,Random-window split,arithmetic,1,23
1,1,4,0.99978410740127477,0.00021589259872521719,0,arithmetic:s04:r0,1335,random_window,Random-window split,arithmetic,0,17
1,1,4,0.99980986250056292,0.00019013749943712168,0,arithmetic:s04:r1,1335,random_window,Random-window split,arithmetic,0,11
1,1,4,5.5211307878761599e-05,0.99994478869212133,1,arithmetic:s04:r2,1335,random_window,Random-window split,arithmetic,1,29
1,1,4,5.6746628215651031e-05,0.99994325337178425,1,arithmetic:s04:r3,1335,random_window,Random-window split,arithmetic,1,23
1,2,4,0.99949262529937488,0.00050737470062508139,0,arithmetic:s04:r0,1335,random_window,Random-window split,arithmetic,0,15
1,2,4,0.99993424951520882,6.5750484791171805e-05,0,arithmetic:s04:r1,1335,random_window,Random-window split,arithmetic,0,13
1,2,4,5.3328308354228207e-05,0.99994667169164575,1,arithmetic:s04:r2,1335,random_window,Random-window split,arithmetic,1,27
1,2,4,6.8385927155319021e-05,0.9999316140728447,1,arithmetic:s04:r3,1335,random_window,Random-window split,arithmetic,1,25
1,1,4,0.99950360710580821,0.00049639289419172448,0,arithmetic:s04:r0,1388,random_window,Random-window split,arithmetic,0,16
1,1,4,0.99990203804741007,9.7961952589898217e-05,0,arithmetic:s04:r1,1388,random_window,Random-window split,arithmetic,0,12
1,1,4,0.00011665337904776375,0.99988334662095224,1,arithmetic:s04:r2,1388,random_window,Random-window split,arithmetic,1,20
1,1,4,2.0646961095970639e-05,0.99997935303890406,1,arithmetic:s04:r3,1388,random_window,Random-window split,arithmetic,1,32
1,2,4,0.99979591209223484,0.00020408790776513936,0,arithmetic:s04:r0,1388,random_window,Random-window split,arithmetic,0,11
1,2,4,0.99995906794262057,4.0932057379389408e-05,0,arithmetic:s04:r1,1388,random_window,Random-window split,arithmetic,0,17
1,2,4,2.2404094730620806e-05,0.99997759590526936,1,arithmetic:s04:r2,1388,random_window,Random-window split,arithmetic,1,26
1,2,4,1.9782874058987929e-05,0.99998021712594098,1,arithmetic:s04:r3,1388,random_window,Random-window split,arithmetic,1,26
1,1,4,0.99976477203112968,0.00023522796887027209,0,arithmetic:s04:r0,1441,random_window,Random-window split,arithmetic,0,14
1,1,4,0.99989602128622468,0.00010397871377536833,0,arithmetic:s04:r1,1441,random_window,Random-window split,arithmetic,0,14
1,1,4,4.6374355668841906e-05,0.9999536256443311,1,arithmetic:s04:r2,1441,random_window,Random-window split,arithmetic,1,22
1,1,4,4.9883422358753362e-05,0.99995011657764132,1,arithmetic:s04:r3,1441,random_window,Random-window split,arithmetic,1,30
1,2,4,0.99849057344162739,0.0015094265583726594,0,arithmetic:s04:r0,1441,random_window,Random-window split,arithmetic,0,9
1,2,4,0.99989391563849328,0.00010608436150672397,0,arithmetic:s04:r1,1441,random_window,Random-window split,arithmetic,0,19
1,2,4,5.7066396449504856e-05,0.99994293360355047,1,arithmetic:s04:r2,1441,random_window,Random-window split,arithmetic,1,32
1,2,4,2.9707354811407359e-05,0.99997029264518855,1,arithmetic:s04:r3,1441,random_window,Random-window split,arithmetic,1,20
1,1,4,0.99972367463152922,0.00027632536847075668,0,arithmetic:s04:r0,1494,random_window,Random-window split,arithmetic,0,13
1,1,4,0.9999197998745063,8.0200125493729311e-05,0,arithmetic:s04:r1,1494,random_window,Random-window split,arithmetic,0,15
1,1,4,1.9042146632128716e-05,0.99998095785336794,1,arithmetic:s04:r2,1494,random_window,Random-window split,arithmetic,1,25
1,1,4,1.6640206634872034e-05,0.99998335979336517,1,arithmetic:s04:r3,1494,random_window,Random-window split,arithmetic,1,27
1,2,4,0.99948046293992121,0.00051953706007880883,0,arithmetic:s04:r0,1494,random_window,Random-window split,arithmetic,0,14
1,2,4,0.9999369534850755,6.3046514924433637e-05,0,arithmetic:s04:r1,1494,random_window,Random-window split,arithmetic,0,14
1,2,4,2.2163083597569393e-05,0.99997783691640252,1,arithmetic:s04:r2,1494,random_window,Random-window split,arithmetic,1,23
1,2,4,4.0891871361953443e-05,0.99995910812863809,1,arithmetic:s04:r3,1494,random_window,Random-window split,arithmetic,1,29
1,1,4,0.9995202692750913,0.00047973072490862303,0,arithmetic:s04:r0,1547,random_window,Random-window split,arithmetic,0,12
1,1,4,0.99990602959072816,9.3970409271835128e-05,0,arithmetic:s04:r1,1547,random_window,Random-window split,arithmetic,0,16
1,1,4,1.4871191724281083e-05,0.99998512880827573,1,arithmetic:s04:r2,1547,random_window,Random-window split,arithmetic,1,27
1,1,4,3.4147029026581869e-05,0.9999658529709734,1,arithmetic:s04:r3,1547,random_window,Random-window split,arithmetic,1,25
1,2,4,0.99953123567707924,0.0004687643229207497,0,arithmetic:s04:r0,1547,random_window,Random-window split,arithmetic,0,14
1,2,4,0.99985798257709368,0.00014201742290632181,0,arithmetic:s04:r1,1547,random_window,Random-window split,arithmetic,0,14
